
AcceptConnectPort,6
AccessCheck,8
AccessCheckAndAuditAlarm,11
AccessCheckByType,11
AccessCheckByTypeAndAuditAlarm,16
AccessCheckByTypeResultList,11
AccessCheckByTypeResultListAndAuditAlarm,16
AccessCheckByTypeResultListAndAuditAlarmByHandle,17
AddAtom,3
AddBootEntry,2
AddDriverEntry,2
AdjustGroupsToken,6
AdjustPrivilegesToken,6
AlertResumeThread,2
AlertThread,1
AllocateLocallyUniqueId,1
AllocateUserPhysicalPages,3
AllocateUuids,4
AllocateVirtualMemory,6
ApphelpCacheControl,2
AreMappedFilesTheSame,2
AssignProcessToJobObject,2
CallbackReturn,3
CancelDeviceWakeupRequest,1
CancelIoFile,2
CancelTimer,2
ClearEvent,1
Close,1
CloseObjectAuditAlarm,3
CompactKeys,2
CompareTokens,3
CompleteConnectPort,1
CompressKey,1
ConnectPort,8
Continue,2
CreateDebugObject,4
CreateDirectoryObject,3
CreateEvent,5
CreateEventPair,3
CreateFile,11
CreateIoCompletion,4
CreateJobObject,3
CreateJobSet,3
CreateKey,7
CreateMailslotFile,8
CreateMutant,4
CreateNamedPipeFile,14
CreatePagingFile,4
CreatePort,5
CreateProcess,8
CreateProcessEx,9
CreateProfile,9
CreateSection,7
CreateSemaphore,5
CreateSymbolicLinkObject,4
CreateThread,8
CreateTimer,4
CreateToken,13
CreateWaitablePort,5
DebugActiveProcess,2
DebugContinue,3
DelayExecution,2
DeleteAtom,1
DeleteBootEntry,1
DeleteDriverEntry,1
DeleteFile,1
DeleteKey,1
DeleteObjectAuditAlarm,3
DeleteValueKey,2
DeviceIoControlFile,10
DisplayString,1
DuplicateObject,7
DuplicateToken,6
EnumerateBootEntries,2
EnumerateDriverEntries,2
EnumerateKey,6
EnumerateSystemEnvironmentValuesEx,3
EnumerateValueKey,6
ExtendSection,2
FilterToken,6
FindAtom,3
FlushBuffersFile,2
FlushInstructionCache,3
FlushKey,1
FlushVirtualMemory,4
FlushWriteBuffer,0
FreeUserPhysicalPages,3
FreeVirtualMemory,4
FsControlFile,10
GetContextThread,2
GetDevicePowerState,2
GetPlugPlayEvent,4
GetWriteWatch,7
ImpersonateAnonymousToken,1
ImpersonateClientOfPort,2
ImpersonateThread,3
InitializeRegistry,1
InitiatePowerAction,4
IsProcessInJob,2
IsSystemResumeAutomatic,0
ListenPort,2
LoadDriver,1
LoadKey,2
LoadKey2,3
LoadKeyEx,4
LockFile,10
LockProductActivationKeys,2
LockRegistryKey,1
LockVirtualMemory,4
MakePermanentObject,1
MakeTemporaryObject,1
MapUserPhysicalPages,3
MapUserPhysicalPagesScatter,3
MapViewOfSection,10
ModifyBootEntry,1
ModifyDriverEntry,1
NotifyChangeDirectoryFile,9
NotifyChangeKey,10
NotifyChangeMultipleKeys,12
OpenDirectoryObject,3
OpenEvent,3
OpenEventPair,3
OpenFile,6
OpenIoCompletion,3
OpenJobObject,3
OpenKey,3
OpenMutant,3
OpenObjectAuditAlarm,12
